row_id,wallet,canonical_lock_hash,dataset_version,collection_state,sampling_stratum,lifetime_tx_count,legacy_proxy_label
10,ckb1qq650jd22cuqferm504axlnqztjy0jg6yw8h4fcmrf6nr8c3murquqgdjw8y6xzkzv47j8ty8n5usdan0d09huac96g88lhq0ww27cjlp0j960kqvxlzyysqqqqqqqqqqqqqqqqqqqqqqqqqqvqkqp7c7na9kqqqqqqqqqqqqqqqpwxz9f577qqqqqqqqqqqqqqqqqq92vjjw,,ckb-behaviour-dataset-v1,COMPLETE,1-10,2,human_like
11,ckb1qq650jd22cuqferm504axlnqztjy0jg6yw8h4fcmrf6nr8c3murquqge9ss9azp978mspmy3f0sf9gt43myp6n9c96g88lhq0ww27cjlp0j960kqvxlzyysqqqqqqqqqqqqqqqqqqqqqqqqqqvqkakue2zp72qsqqqqqqqqqqqqqp7hvh4tpwpcqqqqqqqqqqqqqqqqnlkyk5,,ckb-behaviour-dataset-v1,COMPLETE,1-10,2,human_like
12,ckb1qq650jd22cuqferm504axlnqztjy0jg6yw8h4fcmrf6nr8c3murquqtkud0s33pnj0ypw90nmsczl8h5wy76f9dc96g88lhq0ww27cjlp0j960kqvxlzyysqqqqqqqqqqqqqqqqqqqqqqqqqqvqslfc40g6syqgqqqqqqqqqqqqqq40q3h85kqsqqqqqqqqqqqqqqqq9e45at,,ckb-behaviour-dataset-v1,COMPLETE,1-10,2,human_like
13,ckb1qq650jd22cuqferm504axlnqztjy0jg6yw8h4fcmrf6nr8c3murquqwyz6tzj06mz668r7g3vcca4q4yzqk9kqdc96g88lhq0ww27cjlp0j960kqvxlzyysqqqqqqqqqqqqqqqqqqqqqqqqqqvq3yxt69khawqgqqqqqqqqqqqqqqp3zwfqsypgqqqqqqqqqqqqqqqq7a9nw9,,ckb-behaviour-dataset-v1,COMPLETE,1-10,2,human_like
14,ckb1qq650jd22cuqferm504axlnqztjy0jg6yw8h4fcmrf6nr8c3murquqwyz6tzj06mz668r7g3vcca4q4yzqk9kqdc96g88lhq0ww27cjlp0j960kqvxlzyysqqqqqqqqqqqqqqqqqqqqqqqqqqvqutq5pgfnpvpqqqqqqqqqqqqqqq4qz4r7cgrqqqqqqqqqqqqqqqqqp3wfuq,,ckb-behaviour-dataset-v1,COMPLETE,1-10,2,human_like
15,ckb1qq650jd22cuqferm504axlnqztjy0jg6yw8h4fcmrf6nr8c3murquqwyz6tzj06mz668r7g3vcca4q4yzqk9kqdc96g88lhq0ww27cjlp0j960kqvxlzyysqqqqqqqqqqqqqzqqqqqqqqqqqqfd5lumhd5hsqqqqqqqqqqqqqqqt0k26es6s2qqqqqqqqqqqqqqqqxe4lp4484gpqqqqqqqqqqqqqqqte4lls,,ckb-behaviour-dataset-v1,COMPLETE,1-10,2,human_like
16,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw,,ckb-behaviour-dataset-v1,COMPLETE,5000+,850073,bot_like
17,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7q034hj6qjn294z8gdh63kf30m565mcmkphjxtfee9fly023cx3l8v9w3h7z,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
18,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7q245y9mqs3e4l6ycsv4amhgzhzd85ewf59amlnmqmur37uda2c8fuyf2j6v,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
19,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7qd8fdu5vu3fwqfjkscg6umfxczuyh7dd29nwexznhftzvr0znpzygrdjjm7,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
20,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7qf4mvqmuqzfeahs4axptm5en0m3jjndht530kdp0uvxvjr3un0rsvh828t2,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
21,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7qfg6grazjdwmf9uzf8deshhr9wsn85w2l66e8d9g7gpz0gveu28zv6pk3z4,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
22,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7qfm09fglf7k3n9f6x7xl7p3ja3gcv9g35ryse0whu55fahcnxy6gvwd0afg,,ckb-behaviour-dataset-v1,COMPLETE,1-10,2,human_like
23,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7qvml6appkndqvveylvggcmfk02vgs76k87eqmctyamkjwc0ppuqf5uvskfx,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
24,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7qw3smwpw49khlnp34vzdfg27rsau0fpnx4eq8u6l4fzucydmsjkfy7jfem9,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
25,ckb1qqqqlpcx9gh7nw62dnz82gfw5ygpfwzdavewqd67u50xa39920sqjqgu5dwttldyh42zuuweffk47nqdy4wk6ma6w0zpeazay6f7txesw2ksqqqqzqqqqqpsqqqqqwqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq82qqqqq2qqqqqxsqqqqrfqqqqqugqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqp4qqqqqyqqqqqrqqqqqqcsqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqh6ry0r,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
26,ckb1qqqqlpcx9gh7nw62dnz82gfw5ygpfwzdavewqd67u50xa39920sqjqgu5dwttldyh42zuuweffk47nqdy4wk6ma6w0zpeazay6f7txesw2ksqqqqzqqqqqpsqqqqqwqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq82qqqqq2qqqqqxsqqqqrfqqqqqugqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqp4qqqqqyqqqqqrqqqqqqcsqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqh6ry0r	unusually long (393 chars) -- likely not a real wallet,,ckb-behaviour-dataset-v1,FAILED_INVALID_ADDRESS,unknown,,
27,ckb1qqunmue4ncels5qse4j6839yy68h9k27c6cyj7q6j9kxsze3a2dgsqdc96g88lhq0ww27cjlp0j960kqvxlzyyhww4pyhk5ztgzaem7q5s6rs7mt,,ckb-behaviour-dataset-v1,COMPLETE,5000+,8084,bot_like
28,ckb1qqunmue4ncels5qse4j6839yy68h9k27c6cyj7q6j9kxsze3a2dgsqvcg4qnx88s32fzxpeldkc9daejv92lx2yupu5ahmqkdhwlhm9qksdws8hd,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
29,ckb1qr2g8yj3vrjzx2evk20szt5rszmmvykhrn6w0xv3ga4khnmpqu6lvqq3u8mhh,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
30,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq82w09dxh4f3gl6se95l7k0g3n3wjjsgdstzvp4c,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
31,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq84zvv7khuuad70n45llzf9p6zahk9680sw2qed8,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
32,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8897n3kut095xgled9dpczz0t7hg7w87un0vrnk,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
33,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq88k0gf2lakdjuntl04ux2mjyalezj598vqnuj2y,,ckb-behaviour-dataset-v1,FAILED_RETRY_EXHAUSTED,unknown,,
34,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq899vvrx27ql0lgaj7x39zamtj8m5twumgvv6h4q,,ckb-behaviour-dataset-v1,COMPLETE,11-50,49,human_like
35,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq89qeq8sz02jymcmc8nm5qsfmwyxtvqemvnunp36,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
36,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq89s0k62mh0xf6hn8cc20wunuarrumudx5nwq9uk,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
37,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8crqpcx3nq9p23h8ep5zzpga67ygfd73scdttd5,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
38,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8ewlgvype9t2vwu4dqzfv73zkdf8lql6s85hu6t,,ckb-behaviour-dataset-v1,COMPLETE,201-500,201,
39,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8gauytada8x688zt0makt3pjmdaad6u8uym77ef,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
40,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8hrnm86uy32m0wv24eqwyvl4crudtnc3yu82y8n,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
41,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8jjta82sj7lcz5ewruppmfrrvtg9nh4vvg5klxg,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
42,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8kwzq44p8ap4zclfc3vfgw5uxqqnegf0u7t0l86,,ckb-behaviour-dataset-v1,COMPLETE,201-500,352,
43,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8m55rrdckag9e5j8hqdyga0ftpwvauxtcult98p,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
44,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8t3pqdfg3rnsqe8vgv93d49evdzkvpxcce0ml7v,,ckb-behaviour-dataset-v1,COMPLETE,501-1000,813,
45,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq90ay9s9atj3rpajv38hnx5nashk3tnstqcu3khf,,ckb-behaviour-dataset-v1,COMPLETE,11-50,33,human_like
46,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq92dx9xep8pwxacajpvvlcj4j7tlk9uhng4j74ms,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
47,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq94q52uky0frd8sge5jnfwnm89zclmrg35ltra3y,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
48,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq97nlhckh68mupdw9w33xhp4hedejskhxs9ef2y4,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
49,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq9ef4udwfyuwywlsqwy08wpapagss8ej8yxj50cr,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
50,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq9fmlyjt4ydumr7u27ltfz3vjfj2s2hgmgwc8awk,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
51,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq9fz7cfu5xla5nd3ay686gm2ajnzh89h8c48k7uz,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
52,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq9m8eyncfhezf8s68djzwk5f9yjgwc6frqej2wsh,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
53,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq9tj624ruuttnrcv4f5gxv5v3n4mm4mx65jvwena,,ckb-behaviour-dataset-v1,COMPLETE,1001-5000,1150,bot_like
54,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq9xtegwt8nftvp2sjp83djfqela8e8uxdcxz9a3g,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
55,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqx0f0kn59zeww42ufe72s3zp843zjtm70qknllc8,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
56,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqx3ks29g76xexysu5ed3ng2zqf8m3gt5c5xrl5n3,,ckb-behaviour-dataset-v1,COMPLETE,11-50,15,human_like
57,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqx8ced038s4z2vxfkqu7jzdcqs7q6qhxjqxupv3g,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
58,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqxamnrpernhha9nsyus0k6f8a6ays6t0cusm37pn,,ckb-behaviour-dataset-v1,COMPLETE,1001-5000,1674,bot_like
59,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqxeawela8galsacxfd7d4xaymhy9jpmqeqyruqve,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
60,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqxmkl3lngrcklwa8grdc8ja6n4s40pu4sc0w0aln,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
61,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqxt4s53tleh9j3nfkqt9fpzkercts0v4qgxwsa0j,,ckb-behaviour-dataset-v1,COMPLETE,1-10,8,human_like
62,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqxuz9n0wyhs86wrqr5309qaz5jsxe3805gnlmc95,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
63,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqxvxkq3zapxvyv6qktfyhq84puycg59s2q0smpl6,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
64,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqy5z928yw33t5enjqglmeq7w23dk99q7qvm3yvlr,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
65,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqydhfg585sfcxu5gpaqs5sme8rn30c5yagaawuq2,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
66,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqygpfd4a3nnel8tg9ntkwayy9hx537qf4yyyg3v0,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
67,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqyjw0y2p7ahcysl4qhq97x60svqn29492qpkvy2s,,ckb-behaviour-dataset-v1,COMPLETE,51-200,114,
68,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqyknjsdgjmz9a475mzuledqlm82yujj4vu8xllec,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
69,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqym5d4n465eu93tdcz5sycepdkatjahp9uwdcpfy,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
70,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqymvu6d289ggsyudpamr4g6ayz62gpp34qzy30vs,,ckb-behaviour-dataset-v1,COMPLETE,501-1000,809,
71,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqyp0v06mqeenupfpzl3lwq38s9jjxx7vvgy0p62v,,ckb-behaviour-dataset-v1,COMPLETE,1001-5000,1443,bot_like
72,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqytevmf523qgwexunz0pf59ysl6dvxvvusuft43p,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
73,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqyxaafkpxklf820ugttkjd0409k73djjhue0s8ej,,ckb-behaviour-dataset-v1,COMPLETE,11-50,40,human_like
74,ckb1qrj9k8u0yxllyvfhqddr4d636adnd2vpmmkru7pqr99ecppfvl60zq2jdhmvxjtkj8fx84gevn93j5eyc2xtgmg63glfg,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
75,ckb1qrj9k8u0yxllyvfhqddr4d636adnd2vpmmkru7pqr99ecppfvl60zqfd4pj6za0jzhxvsk960aw4ylu48hmrtjq8ec8zj,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
76,ckb1qrj9k8u0yxllyvfhqddr4d636adnd2vpmmkru7pqr99ecppfvl60zqfuh3ru2j5lmm6cl4tt7dqme28545t9yzsyhsyzg,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
77,ckb1qrj9k8u0yxllyvfhqddr4d636adnd2vpmmkru7pqr99ecppfvl60zqgjydsp6tgswnf7rg5u2j2v20cvcm55dygutu3en,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
78,ckb1qrj9k8u0yxllyvfhqddr4d636adnd2vpmmkru7pqr99ecppfvl60zqt2prf2vp6mx5tee3437d7wxeyqs8l0png4frpry,,ckb-behaviour-dataset-v1,COMPLETE,1-10,2,human_like
79,ckb1qrj9k8u0yxllyvfhqddr4d636adnd2vpmmkru7pqr99ecppfvl60zqwtcnjua20y203gtj4vdu5uqx3y6frwukc53t607,,ckb-behaviour-dataset-v1,COMPLETE,1-10,2,human_like
80,ckb1qrlh3whq40ch67jqfs97p7ddnjgctvlc3hxxqsp5202m4rslyt6n5qh3068szf235yxw9c3px3rzgxkxnf2ynq7ys5kam9r42sn5a2x845q7rg9y,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
81,ckb1qrlh3whq40ch67jqfs97p7ddnjgctvlc3hxxqsp5202m4rslyt6n5qn0ta0jq68jgwzvzpy82w8sugs9cvvza3fz0flwr67avv068nsst5uevzjl,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
82,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq00s3af7c2hmt6at6mc8cmru3y799zsgaslvt7dx,,ckb-behaviour-dataset-v1,COMPLETE,5000+,267339,bot_like
83,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0259kv0x5jez6h0l5qr52k64weapapgyscsnmhn,,ckb-behaviour-dataset-v1,COMPLETE,5000+,696292,bot_like
84,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq02lstf96jmmavf7uln9acpkedt2clz3tqc6chk8,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
85,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq02rtsalknt9nezey405ay2gek8v5x0ncc3fd62k,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
86,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq02u38k4kh65ek037y6ladw8h387u78pcs8gc8lh,,ckb-behaviour-dataset-v1,FAILED_RETRY_EXHAUSTED,unknown,,
87,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq03gy6qc59208692fxn2pa2pln3xwcwdxsc7p7te,,ckb-behaviour-dataset-v1,COMPLETE,1001-5000,1325,bot_like
88,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq03vvfm7dufx0a80zj27h4f5qjvygtelpshfz360,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
89,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq03z3ekhq3qhe4tz8v5kf3z08gxphswumg02rsqc,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
90,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq046dyalzv28h7wt8fqzhhskeedyh6fpugkydwwj,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
91,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq04avg2cjv4t0vh2v7zuztvcctzy860fjs9esl5u,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
92,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq04g3rjkkuz8j03d526wv5rvjejfelf7lgxecnta,,ckb-behaviour-dataset-v1,FAILED_RETRY_EXHAUSTED,unknown,,
93,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq04vdv80ce23y6cs8050zkhdnm6v39y6ysd7rhfz,,ckb-behaviour-dataset-v1,COMPLETE,5000+,5712,bot_like
94,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq059gaxh9mhygyzgpps4edtqdsumgslcdq3ejtuw,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
95,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq05jzhp0f28a78e9vnyvk4vfmw60xaqadgfyz8es,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
96,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq05k3xttu6lzuy260j06mql7tqpgwcznlcvx836h,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,
97,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq05n6zvckahhuks4wl9rznllcfgralwl3gqs5rqt,,ckb-behaviour-dataset-v1,COMPLETE,unknown,,bot_like
98,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq05pxmxskuqlw0z95ggccuna9e53dw34ycxduz05,,ckb-behaviour-dataset-v1,COMPLETE,1-10,2,human_like
