row_id,wallet,canonical_lock_hash,sampling_stratum,lifetime_tx_count,legacy_proxy_label,collection_state,evidence_state,observation_window_id
12,ckb1qq650jd22cuqferm504axlnqztjy0jg6yw8h4fcmrf6nr8c3murquqtkud0s33pnj0ypw90nmsczl8h5wy76f9dc96g88lhq0ww27cjlp0j960kqvxlzyysqqqqqqqqqqqqqqqqqqqqqqqqqqvqslfc40g6syqgqqqqqqqqqqqqqq40q3h85kqsqqqqqqqqqqqqqqqq9e45at,,1-10,2,human_like,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
13,ckb1qq650jd22cuqferm504axlnqztjy0jg6yw8h4fcmrf6nr8c3murquqwyz6tzj06mz668r7g3vcca4q4yzqk9kqdc96g88lhq0ww27cjlp0j960kqvxlzyysqqqqqqqqqqqqqqqqqqqqqqqqqqvq3yxt69khawqgqqqqqqqqqqqqqqp3zwfqsypgqqqqqqqqqqqqqqqq7a9nw9,,1-10,2,human_like,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
14,ckb1qq650jd22cuqferm504axlnqztjy0jg6yw8h4fcmrf6nr8c3murquqwyz6tzj06mz668r7g3vcca4q4yzqk9kqdc96g88lhq0ww27cjlp0j960kqvxlzyysqqqqqqqqqqqqqqqqqqqqqqqqqqvqutq5pgfnpvpqqqqqqqqqqqqqqq4qz4r7cgrqqqqqqqqqqqqqqqqqp3wfuq,,1-10,2,human_like,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
15,ckb1qq650jd22cuqferm504axlnqztjy0jg6yw8h4fcmrf6nr8c3murquqwyz6tzj06mz668r7g3vcca4q4yzqk9kqdc96g88lhq0ww27cjlp0j960kqvxlzyysqqqqqqqqqqqqqzqqqqqqqqqqqqfd5lumhd5hsqqqqqqqqqqqqqqqt0k26es6s2qqqqqqqqqqqqqqqqxe4lp4484gpqqqqqqqqqqqqqqqte4lls,,1-10,2,human_like,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
16,ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw,,5000+,850073,bot_like,COMPLETE,SUPPORTED,ckb-mainnet-30d-2026-08-31-v1
17,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7q034hj6qjn294z8gdh63kf30m565mcmkphjxtfee9fly023cx3l8v9w3h7z,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
18,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7q245y9mqs3e4l6ycsv4amhgzhzd85ewf59amlnmqmur37uda2c8fuyf2j6v,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
19,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7qd8fdu5vu3fwqfjkscg6umfxczuyh7dd29nwexznhftzvr0znpzygrdjjm7,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
20,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7qf4mvqmuqzfeahs4axptm5en0m3jjndht530kdp0uvxvjr3un0rsvh828t2,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
21,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7qfg6grazjdwmf9uzf8deshhr9wsn85w2l66e8d9g7gpz0gveu28zv6pk3z4,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
22,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7qfm09fglf7k3n9f6x7xl7p3ja3gcv9g35ryse0whu55fahcnxy6gvwd0afg,,1-10,2,human_like,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
23,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7qvml6appkndqvveylvggcmfk02vgs76k87eqmctyamkjwc0ppuqf5uvskfx,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
24,ckb1qqcz6dvc97r9a097mwdfxc8yq5cw6v4dhrsskshmhecdsvf07l8d7qw3smwpw49khlnp34vzdfg27rsau0fpnx4eq8u6l4fzucydmsjkfy7jfem9,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
25,ckb1qqqqlpcx9gh7nw62dnz82gfw5ygpfwzdavewqd67u50xa39920sqjqgu5dwttldyh42zuuweffk47nqdy4wk6ma6w0zpeazay6f7txesw2ksqqqqzqqqqqpsqqqqqwqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq82qqqqq2qqqqqxsqqqqrfqqqqqugqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqp4qqqqqyqqqqqrqqqqqqcsqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqh6ry0r,,unknown,,,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
26,ckb1qqqqlpcx9gh7nw62dnz82gfw5ygpfwzdavewqd67u50xa39920sqjqgu5dwttldyh42zuuweffk47nqdy4wk6ma6w0zpeazay6f7txesw2ksqqqqzqqqqqpsqqqqqwqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq82qqqqq2qqqqqxsqqqqrfqqqqqugqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqp4qqqqqyqqqqqrqqqqqqcsqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqh6ry0r	unusually long (393 chars) -- likely not a real wallet,,unknown,,,FAILED_INVALID_ADDRESS,UNRESOLVED,ckb-mainnet-30d-2026-08-31-v1
27,ckb1qqunmue4ncels5qse4j6839yy68h9k27c6cyj7q6j9kxsze3a2dgsqdc96g88lhq0ww27cjlp0j960kqvxlzyyhww4pyhk5ztgzaem7q5s6rs7mt,,5000+,8084,bot_like,COMPLETE,SUPPORTED,ckb-mainnet-30d-2026-08-31-v1
28,ckb1qqunmue4ncels5qse4j6839yy68h9k27c6cyj7q6j9kxsze3a2dgsqvcg4qnx88s32fzxpeldkc9daejv92lx2yupu5ahmqkdhwlhm9qksdws8hd,,unknown,,,COMPLETE,SUPPORTED,ckb-mainnet-30d-2026-08-31-v1
29,ckb1qr2g8yj3vrjzx2evk20szt5rszmmvykhrn6w0xv3ga4khnmpqu6lvqq3u8mhh,,unknown,,,COMPLETE,SUPPORTED,ckb-mainnet-30d-2026-08-31-v1
30,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq82w09dxh4f3gl6se95l7k0g3n3wjjsgdstzvp4c,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
31,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq84zvv7khuuad70n45llzf9p6zahk9680sw2qed8,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
32,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8897n3kut095xgled9dpczz0t7hg7w87un0vrnk,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
33,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq88k0gf2lakdjuntl04ux2mjyalezj598vqnuj2y,,unknown,,,FAILED_RETRY_EXHAUSTED,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
34,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq899vvrx27ql0lgaj7x39zamtj8m5twumgvv6h4q,,11-50,49,human_like,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
35,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq89qeq8sz02jymcmc8nm5qsfmwyxtvqemvnunp36,,unknown,,,COMPLETE,SUPPORTED,ckb-mainnet-30d-2026-08-31-v1
36,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq89s0k62mh0xf6hn8cc20wunuarrumudx5nwq9uk,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
37,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8crqpcx3nq9p23h8ep5zzpga67ygfd73scdttd5,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
38,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8ewlgvype9t2vwu4dqzfv73zkdf8lql6s85hu6t,,201-500,201,,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
39,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8gauytada8x688zt0makt3pjmdaad6u8uym77ef,,unknown,,,COMPLETE,SUPPORTED,ckb-mainnet-30d-2026-08-31-v1
40,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8hrnm86uy32m0wv24eqwyvl4crudtnc3yu82y8n,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
41,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8jjta82sj7lcz5ewruppmfrrvtg9nh4vvg5klxg,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
42,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8kwzq44p8ap4zclfc3vfgw5uxqqnegf0u7t0l86,,201-500,352,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
43,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8m55rrdckag9e5j8hqdyga0ftpwvauxtcult98p,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
44,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq8t3pqdfg3rnsqe8vgv93d49evdzkvpxcce0ml7v,,501-1000,813,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
45,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq90ay9s9atj3rpajv38hnx5nashk3tnstqcu3khf,,11-50,33,human_like,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
46,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq92dx9xep8pwxacajpvvlcj4j7tlk9uhng4j74ms,,unknown,,,COMPLETE,SUPPORTED,ckb-mainnet-30d-2026-08-31-v1
47,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq94q52uky0frd8sge5jnfwnm89zclmrg35ltra3y,,unknown,,,COMPLETE,SUPPORTED,ckb-mainnet-30d-2026-08-31-v1
48,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq97nlhckh68mupdw9w33xhp4hedejskhxs9ef2y4,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
49,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq9ef4udwfyuwywlsqwy08wpapagss8ej8yxj50cr,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
50,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq9fmlyjt4ydumr7u27ltfz3vjfj2s2hgmgwc8awk,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
51,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq9fz7cfu5xla5nd3ay686gm2ajnzh89h8c48k7uz,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
52,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq9m8eyncfhezf8s68djzwk5f9yjgwc6frqej2wsh,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
53,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq9tj624ruuttnrcv4f5gxv5v3n4mm4mx65jvwena,,1001-5000,1150,bot_like,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
54,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqq9xtegwt8nftvp2sjp83djfqela8e8uxdcxz9a3g,,unknown,,,COMPLETE,SUPPORTED,ckb-mainnet-30d-2026-08-31-v1
55,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqx0f0kn59zeww42ufe72s3zp843zjtm70qknllc8,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
56,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqx3ks29g76xexysu5ed3ng2zqf8m3gt5c5xrl5n3,,11-50,15,human_like,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
57,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqx8ced038s4z2vxfkqu7jzdcqs7q6qhxjqxupv3g,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
58,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqxamnrpernhha9nsyus0k6f8a6ays6t0cusm37pn,,1001-5000,1674,bot_like,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
59,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqxeawela8galsacxfd7d4xaymhy9jpmqeqyruqve,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
60,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqxmkl3lngrcklwa8grdc8ja6n4s40pu4sc0w0aln,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
61,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqxt4s53tleh9j3nfkqt9fpzkercts0v4qgxwsa0j,,1-10,8,human_like,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
62,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqxuz9n0wyhs86wrqr5309qaz5jsxe3805gnlmc95,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
63,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqxvxkq3zapxvyv6qktfyhq84puycg59s2q0smpl6,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
64,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqy5z928yw33t5enjqglmeq7w23dk99q7qvm3yvlr,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
65,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqydhfg585sfcxu5gpaqs5sme8rn30c5yagaawuq2,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
66,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqygpfd4a3nnel8tg9ntkwayy9hx537qf4yyyg3v0,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
67,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqyjw0y2p7ahcysl4qhq97x60svqn29492qpkvy2s,,51-200,114,,COMPLETE,SUPPORTED,ckb-mainnet-30d-2026-08-31-v1
68,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqyknjsdgjmz9a475mzuledqlm82yujj4vu8xllec,,unknown,,,COMPLETE,SUPPORTED,ckb-mainnet-30d-2026-08-31-v1
69,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqym5d4n465eu93tdcz5sycepdkatjahp9uwdcpfy,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
70,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqymvu6d289ggsyudpamr4g6ayz62gpp34qzy30vs,,501-1000,809,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
71,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqyp0v06mqeenupfpzl3lwq38s9jjxx7vvgy0p62v,,1001-5000,1443,bot_like,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
72,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqytevmf523qgwexunz0pf59ysl6dvxvvusuft43p,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
73,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqyxaafkpxklf820ugttkjd0409k73djjhue0s8ej,,11-50,40,human_like,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
74,ckb1qrj9k8u0yxllyvfhqddr4d636adnd2vpmmkru7pqr99ecppfvl60zq2jdhmvxjtkj8fx84gevn93j5eyc2xtgmg63glfg,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
75,ckb1qrj9k8u0yxllyvfhqddr4d636adnd2vpmmkru7pqr99ecppfvl60zqfd4pj6za0jzhxvsk960aw4ylu48hmrtjq8ec8zj,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
76,ckb1qrj9k8u0yxllyvfhqddr4d636adnd2vpmmkru7pqr99ecppfvl60zqfuh3ru2j5lmm6cl4tt7dqme28545t9yzsyhsyzg,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
77,ckb1qrj9k8u0yxllyvfhqddr4d636adnd2vpmmkru7pqr99ecppfvl60zqgjydsp6tgswnf7rg5u2j2v20cvcm55dygutu3en,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
78,ckb1qrj9k8u0yxllyvfhqddr4d636adnd2vpmmkru7pqr99ecppfvl60zqt2prf2vp6mx5tee3437d7wxeyqs8l0png4frpry,,1-10,2,human_like,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
79,ckb1qrj9k8u0yxllyvfhqddr4d636adnd2vpmmkru7pqr99ecppfvl60zqwtcnjua20y203gtj4vdu5uqx3y6frwukc53t607,,1-10,2,human_like,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
80,ckb1qrlh3whq40ch67jqfs97p7ddnjgctvlc3hxxqsp5202m4rslyt6n5qh3068szf235yxw9c3px3rzgxkxnf2ynq7ys5kam9r42sn5a2x845q7rg9y,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
81,ckb1qrlh3whq40ch67jqfs97p7ddnjgctvlc3hxxqsp5202m4rslyt6n5qn0ta0jq68jgwzvzpy82w8sugs9cvvza3fz0flwr67avv068nsst5uevzjl,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
82,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq00s3af7c2hmt6at6mc8cmru3y799zsgaslvt7dx,,5000+,267339,bot_like,COMPLETE,INSUFFICIENT_EVIDENCE,ckb-mainnet-30d-2026-08-31-v1
83,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0259kv0x5jez6h0l5qr52k64weapapgyscsnmhn,,5000+,696292,bot_like,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
84,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq02lstf96jmmavf7uln9acpkedt2clz3tqc6chk8,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
85,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq02rtsalknt9nezey405ay2gek8v5x0ncc3fd62k,,unknown,,,COMPLETE,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
86,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq02u38k4kh65ek037y6ladw8h387u78pcs8gc8lh,,unknown,,,FAILED_RETRY_EXHAUSTED,PARTIAL,ckb-mainnet-30d-2026-08-31-v1
